Data,Nº Nota Fiscal,Placa,Fornecedor,Km Inicial,Km Final,Km Total,Qtde. Litros,Média,Peso,Média Peso,Desconto,Valor Total,Centro de Custo,Plano de Contas
1/9/2025,,RCP-3F78,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,465337,466949,1612,"415,79","3,88","0,00","0,00","R$ 0,00 ","R$ 2.365,85 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/9/2025,,QIZ-3E10,AUTO POSTO RAINHA LTDA,540999,542646,1647,"303,41","5,43","0,00","0,00","R$ 0,00 ","R$ 1.781,02 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/11/2025,,PES-6F45,DOMINGOS COMERCIAL DE COMBUSTIVEIS PLANALTO LTDA,1134968,1137414,2446,"162,15","15,08","0,00","0,00","R$ 0,00 ","R$ 1.019,92 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/11/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1046720,1048276,1556,"394,84","3,94","0,00","0,00","R$ 0,00 ","R$ 2.246,64 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/11/2025,,QQN-8J78,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,581583,582068,485,"141,28","3,43","0,00","0,00","R$ 0,00 ","R$ 842,03 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/11/2025,,SOC-0G05,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,64226,64568,342,"529,40","0,65","0,00","0,00","R$ 0,00 ","R$ 3.155,22 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/12/2025,,QQN-8J78,POSTO DE COMBUSTIVEL ALTO DA SERRA LTDA,582068,583442,1374,"150,00","9,16","0,00","0,00","R$ 0,00 ","R$ 933,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/12/2025,,SOC-0G05,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,64568,65555,987,"238,36","4,14","0,00","0,00","R$ 0,00 ","R$ 1.420,63 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/12/2025,,QQN-8J78,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,583442,583737,295,"524,77","0,56","0,00","0,00","R$ 0,00 ","R$ 3.138,12 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/13/2025,,SNO-6F99,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,115108,115803,695,"622,59","1,12","0,00","0,00","R$ 0,00 ","R$ 3.710,64 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/13/2025,,RCP-3F78,INVESTGAS LOCACAO E INVESTIMENTO LIMITADA,466949,469244,2295,"560,45","4,09","0,00","0,00","R$ 0,00 ","R$ 3.245,01 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/14/2025,,QQN-8J78,J. H . COMBUSTIVEIS LTDA,583737,584485,748,"262,48","2,85","0,00","0,00","R$ 0,00 ","R$ 1.569,63 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/15/2025,,QIZ-3E10,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,542646,543435,789,"300,00","2,63","0,00","0,00","R$ 0,00 ","R$ 1.797,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/15/2025,,SOC-0G05,J. H . COMBUSTIVEIS LTDA,65555,67221,1666,"200,00","8,33","0,00","0,00","R$ 0,00 ","R$ 1.196,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/15/2025,,EGJ-4B71,AUTO POSTO QUATRO IRMAOS LTDA,650445,650469,24,"200,00","0,12","0,00","0,00","R$ 0,00 ","R$ 1.198,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/15/2025,,SOC-0G05,TORRES COMERCIO E DERIVADOS DE PETROLEO LTDA,67221,67486,265,"523,16","0,51","0,00","0,00","R$ 0,00 ","R$ 3.055,25 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/15/2025,,PES-6F45,VILA JARDIM COMERCIO DE COMBUSTIVEL LTDA,1137414,1137898,484,"588,16","0,82","0,00","0,00","R$ 0,00 ","R$ 3.523,08 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/16/2025,,PFB-2A13,AUTO POSTO QUATRO IRMAOS LTDA,1048276,1049766,1490,"200,00","7,45","0,00","0,00","R$ 0,00 ","R$ 1.198,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/16/2025,,SNO-6F99,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,115803,117450,1647,"500,00","3,29","0,00","0,00","R$ 0,00 ","R$ 2.990,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/16/2025,,QIZ-3E10,COMERCIO DE COMBUSTIVEIS JAQUEIRA LTDA,543435,544172,737,"537,68","1,37","0,00","0,00","R$ 0,00 ","R$ 3.140,05 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/17/2025,,SNO-6F99,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,117450,118451,1001,"100,00","10,01","0,00","0,00","R$ 0,00 ","R$ 599,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/18/2025,,QQN-8J78,POSTO DE COMBUSTIVEL ALTO DA SERRA LTDA,584485,585844,1359,"150,01","9,06","0,00","0,00","R$ 0,00 ","R$ 954,06 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/18/2025,,SNO-6F99,VILA JARDIM COMERCIO DE COMBUSTIVEL LTDA,118451,118512,61,"634,66","0,10","0,00","0,00","R$ 0,00 ","R$ 3.801,61 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/18/2025,,QQN-8J78,J. H . COMBUSTIVEIS LTDA,585844,586139,295,"523,78","0,56","0,00","0,00","R$ 0,00 ","R$ 3.231,72 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/20/2025,,RCP-3F78,ESCADA COMERCIAL DE COMBUSTIVEIS DOMINGOS LTDA,469244,470803,1559,"433,80","3,59","0,00","0,00","R$ 0,00 ","R$ 2.598,46 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/20/2025,,SOC-0G05,POSTO INFINITY LTDA,67486,68894,1408,"200,00","7,04","0,00","0,00","R$ 0,00 ","R$ 1.218,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/20/2025,,QIZ-3E10,AUTO POSTO GUARANY LTDA,544172,546011,1839,"150,00","12,26","0,00","0,00","R$ 0,00 ","R$ 1.030,50 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/21/2025,,SOC-0G05,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,68894,69250,356,"546,59","0,65","0,00","0,00","R$ 0,00 ","R$ 3.274,07 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/21/2025,,QQN-8J78,J. H . COMBUSTIVEIS LTDA,586139,586884,745,"266,53","2,80","0,00","0,00","R$ 0,00 ","R$ 1.623,17 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/21/2025,,SNO-6F99,PARADA CERTA COMERCIO DE COMBUSTIVEIS LTDA,118512,120269,1757,"649,38","2,71","0,00","0,00","R$ 0,00 ","R$ 3.889,79 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/21/2025,,QIZ-3E10,PETROMERC DERIVADOS DE PETROLEO LTDA.,546011,546308,297,"200,00","1,49","0,00","0,00","R$ 0,00 ","R$ 1.214,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/22/2025,,QIZ-3E10,GAM COMERCIO DE COMBUSTIVEIS LTDA,546308,546636,328,"350,00","0,94","0,00","0,00","R$ 0,00 ","R$ 2.096,50 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/23/2025,,SOC-0G05,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,69250,70240,990,"233,22","4,24","0,00","0,00","R$ 0,00 ","R$ 1.390,02 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/23/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1049766,1050402,636,"168,12","3,78","0,00","0,00","R$ 0,00 ","R$ 1.007,04 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/23/2025,,SNO-6F99,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,120269,121361,1092,"328,00","3,33","0,00","0,00","R$ 0,00 ","R$ 1.954,89 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/24/2025,,SNO-6F99,POEIRAO MEGA POSTO DE COMBUSTIVEIS LTDA,121361,121781,420,"132,43","3,17","0,00","0,00","R$ 0,00 ","R$ 821,07 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/24/2025,,QIZ-3E10,AUTO POSTO DE COMBUSTIVEIS RIBEIRAO LTDA,546636,547509,873,"575,92","1,52","0,00","0,00","R$ 0,00 ","R$ 3.392,17 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/24/2025,,QQN-8J78,POSTO DE COMBUSTIVEL ALTO DA SERRA LTDA,586884,588237,1353,"150,00","9,02","0,00","0,00","R$ 0,00 ","R$ 954,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/24/2025,,QQN-8J78,J. H . COMBUSTIVEIS LTDA,588237,588532,295,"489,85","0,60","0,00","0,00","R$ 0,00 ","R$ 2.983,19 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/25/2025,,EGJ-4B71,POSTO REFORCO 6 LTDA,650469,651344,875,"100,00","8,75","0,00","0,00","R$ 0,00 ","R$ 698,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/25/2025,,SOC-0G05,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,70240,71929,1689,"602,36","2,80","0,00","0,00","R$ 0,00 ","R$ 3.590,07 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/26/2025,,QIZ-3E10,JMF - COMERCIO DE COMBUSTIVEIS LTDA,547509,549121,1612,"200,00","8,06","0,00","0,00","R$ 0,00 ","R$ 1.378,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/26/2025,,SNO-6F99,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,121781,123028,1247,"565,00","2,21","0,00","0,00","R$ 0,00 ","R$ 3.367,42 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/27/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1050402,1051307,905,"200,00","4,53","0,00","0,00","R$ 0,00 ","R$ 1.178,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/28/2025,,RCP-3F78,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,470803,473096,2293,"300,00","7,64","0,00","0,00","R$ 0,00 ","R$ 1.767,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/28/2025,,QQN-8J78,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,588532,590089,1557,"570,01","2,73","0,00","0,00","R$ 0,00 ","R$ 3.397,24 ",COMBUSTIVEL ,DESP. PRODUCAO   
